Deposited,Collected
0,0
460339,454076
144480,143543
137103,136650
95375,94852
343076,341800
309963,309360
364692,363534
91882,91724
217741,217335
72434,72221
98271,97783
213189,212109
224872,221703
217696,217149
148884,147669
182591,181912
259678,258649
128481,127979
246190,245404
240276,239810
214918,207018
77385,77171
112693,112232
178202,177882
181784,181139
172413,170581
180568,179390
67937,67634
189075,188732
192794,192180
124757,122383
197445,196735
122881,122295
222927,221416
116342,116136
159985,159306
70516,70203
62085,61853
100984,100729
95203,94956
174120,172977
178530,176963
64091,63968
225667,224013
261663,258081
207745,205912
151291,150992
186722,186576
238039,237464
90701,90465
116638,116235
0,0
144461,142951
374228,372521
154585,154230
493768,492697
147691,146418
293683,292489
683615,675347
303612,302834
427542,426483
248741,244215
440682,440042
39984,35628
154068,153486
122620,122357
316817,315751
96788,96470
90390,90124
157216,156391
204689,204160
172377,171925
0,0
103666,103337
69360,68727
129944,129328
92986,92717
25712,25510
326700,326321
370089,369021
116937,115999
375090,373660
270145,269316
347103,345426
203942,200807
53911,53871
442544,440775
167630,167075
449730,448856
348611,347169
404497,403585
283768,281845
110143,109218
208523,208336
66331,65084
81313,80726
67081,66895
127096,126683
58185,57935
76646,76155
48956,48743
368454,367109
72903,72656
73017,72709
162704,162283
162697,161884
263314,262748
52278,51947
0,0
165187,164522
271520,270821
123624,122948
430935,428911
464377,462478
169078,168469
17402,17281
85148,84845
43231,43158
153002,150057
107905,107593
234979,230565
223831,223276
207205,206718
73595,73522
310757,309819
229939,228272
261338,260665
52500,52374
138941,138835
239320,238688
198230,196494
179258,178137
279192,278792
218413,215471
238563,238359
103926,103589
301418,300548
223853,221823
179015,175545
235585,233849
216625,215664
220466,220188
187065,186537
151942,151383
252104,251435
60403,60230
113705,112822
32660,32572
178439,177806
256072,254804
160048,159440
141637,141316
162486,161615
411044,410141
325285,322117
34963,34744
201242,199620
144100,143334
427339,426389
192265,191472
191147,190545
173025,169015
81294,80849
105870,105510
177983,176846
336871,335936
50823,50584
158121,157704
175874,175347
148281,147784
148929,148559
378839,376742
21030,20960
159439,159061
336349,335660
282985,279931
75287,75045
27668,27593
114094,113559
247631,239410
282050,281458
40438,39919
160087,150770
257114,256683
185772,185586
121364,118727
376075,374769
327709,327080
245668,244583
342959,342597
133147,132068
220127,219127
141533,139677
147011,146797
46133,45078
291238,290437
118314,116767
23777,23690
413634,412374
121753,121461
357778,356659
310509,308662
63819,63710
52049,51853
76097,75708
52484,52296
54463,54219
422862,420784
99490,99141
277979,276539
101934,101625
473553,472031
279891,278164
205548,204932
117913,117479
99613,98318
174703,174262
147782,147318
269576,268523
89424,89237
19430,19382
133913,133598
173702,173157
165135,163737
408358,403461
329300,328335
58106,58055
108087,107670
193983,193407
144487,144206
128218,127769
96654,96419
145287,144404
131339,129970
226353,225738
302095,301148
243636,242806
344407,343968
130469,130241
99267,98913
177340,176556
157068,156419
139943,139137
273845,273391
188186,185116
176235,175524
214450,211288
175050,174768
22207,22113
120962,120560
103840,103658
141862,139766
289958,289098
24843,24696
157689,157163
385042,382919
337865,336891
23447,23337
25450,25409
95359,94472
92814,92674
82623,82374
72941,72617
206942,204920
71180,70931
91584,91278
257641,256967
209003,208365
155770,155098
195453,195110
169490,168844
214650,211709
67311,66626
136393,134267
268967,267685
132943,128300
224767,224253
102916,102606
82901,82281
141339,140685
149245,148846
196356,195958
186504,186228
128850,128394
71397,70694
204830,204129
165268,164855
172531,172310
179091,176366
92791,92608
288074,287847
226421,225796
138890,137959
211271,210102
107844,107550
89066,88439
174969,174138
148764,146321
234875,234354
72403,72128
318233,316478
457383,455963
197521,197041
208111,205303
95237,94589
335487,332772
128133,127754
231311,230760
317930,315826
132982,132409
80247,79917
27861,27701
199844,198676
86736,86562
114354,114112
84376,83723
178453,177877
135717,135318
94662,94376
78889,78719
0,0
82732,82308
122965,122595
24171,24066
133001,132075
289275,288552
94390,92357
202900,201961
118996,118727
140145,138913
56176,55275
55285,55156
185115,184466
223742,223506
47981,47863
206060,205104
96212,95794
174561,172993
84206,84017
381015,379957
154244,154177
89504,89076
212131,211325
158196,157459
243250,239018
361643,359533
209751,209391
170501,169924
38707,38598
85892,85714
199426,198598
62172,61920
226108,225561
140504,140304
67978,67856
66410,66162
22741,22686
139081,136835
148253,147460
55177,55042
80293,79981
114824,114004
385372,383397
50688,48188
199313,198179
40233,39908
456294,454165
239028,235841
195258,194602
110230,109959
113945,113621
126481,126109
109495,109169
251062,250360
95910,95396
68153,67813
270914,269867
149686,148739
212959,209854
104188,103883
262424,258725
157272,156458
178374,175793
149782,149330
352921,349330
184590,184369
388667,388160
